mrr	h1	h3	h10	time_this_iter_s	done	training_iteration	trial_id	date	timestamp	time_total_s	pid	hostname	node_ip	time_since_restore	iterations_since_restore	config/act	config/attn_dim	config/batch_size	config/dropout	config/hidden_dim	config/lr	config/n_layer	config/wandb/entity	config/wandb/log_config	config/wandb/project	logdir
0.4717228993882669	0.3763217959089333	0.5281260834392696	0.6475210909511152	6558.5741312503815	False	2	d82a3607	2023-09-18_23-20-56	1695050456	14346.002197027206	548626	abc	101.6.66.23	14346.002197027206	2	idd	5	50	0.021518190816275363	128	-2.3401719797101226	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_d82a3607_1_act=idd,attn_dim=5,batch_size=50,dropout=0.0215,hidden_dim=128,lr=-2.3402,n_layer=3,entity=qqpp,log_config=Tr_2023-09-18_19-21-47
0.4626455149916817	0.364584537154744	0.5199713972032821	0.6426022766670519	14950.28481221199	False	2	d7badf73	2023-09-19_03-18-53	1695064733	28620.065508127213	549737	abc	101.6.66.23	28620.065508127213	2	sigmoid	5	10	0.22328783729416063	64	-2.008572461654284	5	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_d7badf73_2_act=sigmoid,attn_dim=5,batch_size=10,dropout=0.2233,hidden_dim=64,lr=-2.0086,n_layer=5,entity=qqpp,log_config_2023-09-18_19-21-50
0.4823913032959704	0.3909048884779845	0.5347422859124004	0.6525843638044608	12410.71075630188	False	2	33b30eb0	2023-09-19_02-16-16	1695060976	24859.77563214302	551455	abc	101.6.66.23	24859.77563214302	2	relu	5	50	0.007142929079516513	32	-2.047336153828652	5	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_33b30eb0_3_act=relu,attn_dim=5,batch_size=50,dropout=0.0071,hidden_dim=32,lr=-2.0473,n_layer=5,entity=qqpp,log_config=Tr_2023-09-18_19-21-53
0.4153616584510989	0.3078628799260372	0.474763087946377	0.6219158095458223	14331.64777135849	False	2	46847848	2023-09-19_03-16-07	1695064567	28447.807146549225	552864	abc	101.6.66.23	28447.807146549225	2	sigmoid	5	10	0.09880516145157975	128	-1.9999391225806549	5	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_46847848_4_act=sigmoid,attn_dim=5,batch_size=10,dropout=0.0988,hidden_dim=128,lr=-1.9999,n_layer=5,entity=qqpp,log_confi_2023-09-18_19-21-56
0.4634960710780545	0.3668814284063331	0.5191118687160522	0.6441913209291575	6679.84234213829	False	2	a237e6e4	2023-09-18_23-19-23	1695050363	14240.623826265337	554483	abc	101.6.66.23	14240.623826265337	2	sigmoid	5	50	0.2246400583909619	128	-2.5445890133771294	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_a237e6e4_5_act=sigmoid,attn_dim=5,batch_size=50,dropout=0.2246,hidden_dim=128,lr=-2.5446,n_layer=3,entity=qqpp,log_confi_2023-09-18_19-21-59
0.0542858079653913	0.0174505951693054	0.047310181439963	0.1168958742632613	6631.482727050781	False	2	7300a456	2023-09-18_23-20-32	1695050432	14306.296481847765	556156	abc	101.6.66.23	14306.296481847765	2	tanh	5	30	0.23614602307951274	128	-1.1630882360556942	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_7300a456_6_act=tanh,attn_dim=5,batch_size=30,dropout=0.2361,hidden_dim=128,lr=-1.1631,n_layer=3,entity=qqpp,log_config=T_2023-09-18_19-22-02
0.3187561165447063	0.2059401363688894	0.3712224084132671	0.5465806656650872	16631.41372203827	False	2	2e29a87c	2023-09-19_08-40-00	1695084000	33636.85077834129	554483	abc	101.6.66.23	33636.85077834129	2	idd	5	30	0.2161370495812173	64	-3.62704420297575	7	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_2e29a87c_7_act=idd,attn_dim=5,batch_size=30,dropout=0.2161,hidden_dim=64,lr=-3.6270,n_layer=7,entity=qqpp,log_config=Tru_2023-09-18_19-22-06
0.4743410236583664	0.3779036172425748	0.5320625794522131	0.6505330521206518	6125.232967615128	False	2	b375e7a7	2023-09-19_03-07-43	1695064063	13630.8937561512	556156	abc	101.6.66.23	13630.8937561512	2	sigmoid	5	50	0.1732699450962655	32	-2.1555530598302584	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_b375e7a7_8_act=sigmoid,attn_dim=5,batch_size=50,dropout=0.1733,hidden_dim=32,lr=-2.1556,n_layer=3,entity=qqpp,log_config_2023-09-18_23-19-23
0.1135094408599198	0.0456200161793597	0.1203989945683578	0.244734485149659	20203.153418540955	False	2	659df0d6	2023-09-19_10-46-59	1695091619	41162.90097713471	548626	abc	101.6.66.23	41162.90097713471	2	sigmoid	10	10	0.2680793930816765	128	-2.164235541884035	7	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_659df0d6_9_act=sigmoid,attn_dim=10,batch_size=10,dropout=0.2681,hidden_dim=128,lr=-2.1642,n_layer=7,entity=qqpp,log_conf_2023-09-18_23-20-32
0.1773642618763002	0.0935297006818444	0.1948457182480064	0.3531361955391194	18246.333886146545	False	2	7f33550d	2023-09-19_12-16-01	1695096961	35985.12940120697	551455	abc	101.6.66.23	35985.12940120697	2	sigmoid	5	10	0.15278892022903975	32	-2.0394691833416236	7	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_7f33550d_10_act=sigmoid,attn_dim=5,batch_size=10,dropout=0.1528,hidden_dim=32,lr=-2.0395,n_layer=7,entity=qqpp,log_confi_2023-09-18_23-20-56
0.0095294951236041	0.0021813243961631	0.0081691320929157	0.0157243152663816	6500.323574781418	False	2	d1bda8fe	2023-09-19_06-51-49	1695077509	13445.941195249556	556156	abc	101.6.66.23	13445.941195249556	2	relu	5	50	0.1892527383394443	64	-1.1698910616918057	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_d1bda8fe_11_act=relu,attn_dim=5,batch_size=50,dropout=0.1893,hidden_dim=64,lr=-1.1699,n_layer=3,entity=qqpp,log_config=T_2023-09-19_02-16-16
0.4666494422115236	0.367127007974113	0.5230555876574599	0.6551485034092223	12126.005531311035	False	2	747df249	2023-09-19_10-00-39	1695088839	24272.24752497673	552864	abc	101.6.66.23	24272.24752497673	2	tanh	5	30	0.22956319880348894	64	-3.2525529087686675	5	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_747df249_12_act=tanh,attn_dim=5,batch_size=30,dropout=0.2296,hidden_dim=64,lr=-3.2526,n_layer=5,entity=qqpp,log_config=T_2023-09-19_03-07-43
0.4600584377275246	0.3635516583843753	0.5164466081127933	0.6411432451173004	6737.297530412674	False	2	dc48faf5	2023-09-19_07-06-31	1695078391	13657.449447393416	549737	abc	101.6.66.23	13657.449447393416	2	idd	10	50	0.17596319560388504	64	-3.165495289202934	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_dc48faf5_13_act=idd,attn_dim=10,batch_size=50,dropout=0.1760,hidden_dim=64,lr=-3.1655,n_layer=3,entity=qqpp,log_config=T_2023-09-19_03-16-07
0.4577068819539266	0.3585967294579914	0.5135068762278978	0.6415477291112909	12034.821260929108	False	2	b38793c4	2023-09-19_13-37-19	1695101839	24329.443024873734	556156	abc	101.6.66.23	24329.443024873734	2	sigmoid	10	30	0.2853508490412614	64	-1.9186934718507183	5	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_b38793c4_14_act=sigmoid,attn_dim=10,batch_size=30,dropout=0.2854,hidden_dim=64,lr=-1.9187,n_layer=5,entity=qqpp,log_conf_2023-09-19_03-18-53
0.4567459397633222	0.3603374552178435	0.5095198197157056	0.6387235640818213	11845.322258472444	False	2	8e29b3f2	2023-09-19_13-52-54	1695102774	24347.196305036545	1197620	abc	101.6.66.23	24347.196305036545	2	sigmoid	10	30	0.27246797200716977	32	-1.7227581361726534	5	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_8e29b3f2_16_act=sigmoid,attn_dim=10,batch_size=30,dropout=0.2725,hidden_dim=32,lr=-1.7228,n_layer=5,entity=qqpp,log_conf_2023-09-19_07-06-31
0.489049377629798	0.395339766554952	0.545201086328441	0.6607246041835202	7869.275477647781	False	2	9fb69c1d	2023-09-19_13-02-30	1695099750	15716.293385505676	1199039	abc	101.6.66.23	15716.293385505676	2	sigmoid	10	10	0.29189735081384793	32	-3.1100632364913787	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_9fb69c1d_18_act=sigmoid,attn_dim=10,batch_size=10,dropout=0.2919,hidden_dim=32,lr=-3.1101,n_layer=3,entity=qqpp,log_conf_2023-09-19_08-40-00
0.4856954364191477	0.3921183404599561	0.5414379405986363	0.6577054200855195	6120.082226514816	False	2	a79508cb	2023-09-19_13-41-48	1695102108	13268.476902484894	552864	abc	101.6.66.23	13268.476902484894	2	tanh	10	50	0.20214618802283194	32	-2.5807566232280954	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_a79508cb_19_act=tanh,attn_dim=10,batch_size=50,dropout=0.2021,hidden_dim=32,lr=-2.5808,n_layer=3,entity=qqpp,log_config=_2023-09-19_08-40-34
0.4827109060585089	0.389012481220386	0.5375881197272622	0.6563980700335144	6722.452185869217	False	2	b98fb528	2023-09-19_14-26-25	1695104785	13165.984122514725	548626	abc	101.6.66.23	13165.984122514725	2	tanh	5	50	0.24984272084348544	64	-2.5882031208265746	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_b98fb528_20_act=tanh,attn_dim=5,batch_size=50,dropout=0.2498,hidden_dim=64,lr=-2.5882,n_layer=3,entity=qqpp,log_config=T_2023-09-19_10-00-39
0.4593786959534212	0.3615003467005663	0.5153920605570322	0.6437146076505258	6182.179791927338	False	2	f8ef5d15	2023-09-19_15-54-08	1695110048	13086.979441165924	551455	abc	101.6.66.23	13086.979441165924	2	relu	10	30	0.041173941553274127	64	-3.635410166531312	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_f8ef5d15_21_act=relu,attn_dim=10,batch_size=30,dropout=0.0412,hidden_dim=64,lr=-3.6354,n_layer=3,entity=qqpp,log_config=_2023-09-19_10-46-59
0.4646797775820839	0.3672859124003236	0.5206936900496938	0.6467049000346701	6237.128655672073	False	2	b78a0348	2023-09-19_16-40-54	1695112854	13103.479349374771	1199039	abc	101.6.66.23	13103.479349374771	2	sigmoid	10	30	0.04014319966141163	64	-3.5019247631538946	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_b78a0348_22_act=sigmoid,attn_dim=10,batch_size=30,dropout=0.0401,hidden_dim=64,lr=-3.5019,n_layer=3,entity=qqpp,log_conf_2023-09-19_12-16-01
0.1413207024452068	0.0640673754767132	0.1505908355483647	0.3026118109326245	17036.40502667427	False	2	6d400d2a	2023-09-19_23-00-31	1695135631	33792.381449222565	556156	abc	101.6.66.23	33792.381449222565	2	tanh	10	10	0.28066570117062584	64	-2.176184679026412	7	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_6d400d2a_23_act=tanh,attn_dim=10,batch_size=10,dropout=0.2807,hidden_dim=64,lr=-2.1762,n_layer=7,entity=qqpp,log_config=_2023-09-19_13-02-31
0.4531320810337742	0.3526378134750953	0.5109644054085288	0.6416994106090373	6385.8204870224	False	2	7b3b6a30	2023-09-19_17-22-55	1695115375	13266.85420036316	552864	abc	101.6.66.23	13266.85420036316	2	sigmoid	5	10	0.08117170883589343	32	-3.6704511395506803	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_7b3b6a30_24_act=sigmoid,attn_dim=5,batch_size=10,dropout=0.0812,hidden_dim=32,lr=-3.6705,n_layer=3,entity=qqpp,log_confi_2023-09-19_13-37-19
0.4851440890174506	0.3939674101467699	0.538194845718248	0.6533644400785854	7095.831277132034	False	2	65857e8c	2023-09-19_17-59-39	1695117579	14805.349880218506	1197620	abc	101.6.66.23	14805.349880218506	2	relu	10	10	0.01405240255036414	128	-3.060809728173839	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_65857e8c_25_act=relu,attn_dim=10,batch_size=10,dropout=0.0141,hidden_dim=128,lr=-3.0608,n_layer=3,entity=qqpp,log_config_2023-09-19_13-41-48
0.0281621870438916	0.0055110944181208	0.0180067606610424	0.0526479255749451	18322.68487763405	False	2	dec9187c	2023-09-20_00-03-47	1695139427	34641.872457265854	548626	abc	101.6.66.23	34641.872457265854	2	tanh	10	10	0.01428411378447829	32	-1.4873981528242162	7	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_dec9187c_26_act=tanh,attn_dim=10,batch_size=10,dropout=0.0143,hidden_dim=32,lr=-1.4874,n_layer=7,entity=qqpp,log_config=_2023-09-19_13-52-54
0.4498472111897522	0.3504420432220039	0.5055255402750491	0.6380084941638738	6781.609767198563	False	2	78a4bad3	2023-09-19_19-40-43	1695123643	13594.30119729042	551455	abc	101.6.66.23	13594.30119729042	2	relu	5	10	0.06859035897541789	32	-3.8492857671345506	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_78a4bad3_27_act=relu,attn_dim=5,batch_size=10,dropout=0.0686,hidden_dim=32,lr=-3.8493,n_layer=3,entity=qqpp,log_config=T_2023-09-19_14-26-25
0.4478902803501821	0.3454437767248353	0.5047599098578528	0.6432812319426788	12158.444111824036	False	2	50418f6c	2023-09-19_23-24-27	1695137067	24172.59834051132	1238143	abc	101.6.66.23	24172.59834051132	2	tanh	10	10	0.10364573924468097	32	-3.9373450884264525	5	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_50418f6c_29_act=tanh,attn_dim=10,batch_size=10,dropout=0.1036,hidden_dim=32,lr=-3.9373,n_layer=5,entity=qqpp,log_config=_2023-09-19_16-40-54
0.4699719639730354	0.3767623945452444	0.5223405177395123	0.6436857159366693	12872.420352697372	False	2	11c96747	2023-09-20_00-14-26	1695140066	24690.896718502045	552864	abc	101.6.66.23	24690.896718502045	2	relu	5	10	0.26147328324571134	32	-2.2152517903158984	5	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_11c96747_30_act=relu,attn_dim=5,batch_size=10,dropout=0.2615,hidden_dim=32,lr=-2.2153,n_layer=5,entity=qqpp,log_config=T_2023-09-19_16-41-35
0.0032525247026102	0.0	0.0035681266612735	0.0051860626372356	11621.975915670397	False	2	06ba8e32	2023-09-20_02-43-26	1695149006	25363.50926017761	551455	abc	101.6.66.23	25363.50926017761	2	tanh	10	10	0.2897300909097149	128	-1.0307040698221561	5	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_06ba8e32_32_act=tanh,attn_dim=10,batch_size=10,dropout=0.2897,hidden_dim=128,lr=-1.0307,n_layer=5,entity=qqpp,log_config_2023-09-19_17-59-40
0.468580131781084	0.3709190454177742	0.5239295620016179	0.6501935744828383	14963.542134284971	False	2	9b2f782e	2023-09-20_06-49-36	1695163776	30616.417494773865	1290759	abc	101.6.66.23	30616.417494773865	2	sigmoid	10	10	0.16544363105060125	64	-2.4534087466800187	7	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_9b2f782e_33_act=sigmoid,attn_dim=10,batch_size=10,dropout=0.1654,hidden_dim=64,lr=-2.4534,n_layer=7,entity=qqpp,log_conf_2023-09-19_19-40-43
0.4818537131877007	0.3895614237836588	0.5357968334681613	0.6526060325898533	6074.628109455109	False	2	062e11ec	2023-09-20_02-59-52	1695149992	12924.069216489792	1238143	abc	101.6.66.23	12924.069216489792	2	tanh	10	30	0.03351622150523507	64	-2.1761389436042204	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_062e11ec_35_act=tanh,attn_dim=10,batch_size=30,dropout=0.0335,hidden_dim=64,lr=-2.1761,n_layer=3,entity=qqpp,log_config=_2023-09-19_23-00-31
0.1813582628550783	0.0959349358603952	0.2013174621518548	0.3588712007396278	12230.7283847332	False	2	3994dfd6	2023-09-20_07-11-32	1695165092	25664.794271945957	548626	abc	101.6.66.23	25664.794271945957	2	sigmoid	10	50	0.10759077090361115	32	-1.4643897727739024	7	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_3994dfd6_36_act=sigmoid,attn_dim=10,batch_size=50,dropout=0.1076,hidden_dim=32,lr=-1.4644,n_layer=7,entity=qqpp,log_conf_2023-09-19_23-24-28
0.4493145250630679	0.3471845024846874	0.5083424823760545	0.6386224430833237	6367.088054895401	False	2	3e672d38	2023-09-20_04-03-32	1695153812	13745.987965345385	552864	abc	101.6.66.23	13745.987965345385	2	sigmoid	5	10	0.20023970219876752	32	-1.493275657847962	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_3e672d38_37_act=sigmoid,attn_dim=5,batch_size=10,dropout=0.2002,hidden_dim=32,lr=-1.4933,n_layer=3,entity=qqpp,log_confi_2023-09-20_00-03-47
0.0277666479936845	0.0092381255056049	0.0219938171732347	0.0455983473939674	5115.841312408447	False	2	ca93f0ab	2023-09-20_05-26-25	1695158785	10062.82775259018	1324362	abc	101.6.66.23	10062.82775259018	2	tanh	5	30	0.1795157546273012	32	-1.022447538696698	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_ca93f0ab_38_act=tanh,attn_dim=5,batch_size=30,dropout=0.1795,hidden_dim=32,lr=-1.0224,n_layer=3,entity=qqpp,log_config=T_2023-09-20_00-14-26
0.1544974693406564	0.0746056281058592	0.1681642205015601	0.3227059979197966	11621.174417972565	False	2	408b000b	2023-09-20_09-05-13	1695171913	22906.254351615906	551455	abc	101.6.66.23	22906.254351615906	2	relu	5	10	0.16714222752678826	32	-1.6659080089164227	5	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_408b000b_39_act=relu,attn_dim=5,batch_size=10,dropout=0.1671,hidden_dim=32,lr=-1.6659,n_layer=5,entity=qqpp,log_config=T_2023-09-20_02-38-43
0.456052322913955	0.3544724373049809	0.5133840864440079	0.6472971801687276	12045.283051252363	False	2	3d95783a	2023-09-20_09-20-39	1695172839	22847.29490327835	1238143	abc	101.6.66.23	22847.29490327835	2	tanh	5	10	0.12496846112518124	32	-3.794430277661096	5	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_3d95783a_40_act=tanh,attn_dim=5,batch_size=10,dropout=0.1250,hidden_dim=32,lr=-3.7944,n_layer=5,entity=qqpp,log_config=T_2023-09-20_02-43-27
0.4544093376433361	0.3602291112908817	0.5059661389113602	0.6313417311914943	11838.704813480375	False	2	08fbcd81	2023-09-20_10-33-54	1695177234	23422.24268054962	552864	abc	101.6.66.23	23422.24268054962	2	idd	10	10	0.19671183674645068	128	-3.3604740844866834	5	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_08fbcd81_41_act=idd,attn_dim=10,batch_size=10,dropout=0.1967,hidden_dim=128,lr=-3.3605,n_layer=5,entity=qqpp,log_config=_2023-09-20_02-59-52
0.283921208909676	0.1728952386455564	0.3313879579336646	0.5085880619438345	11617.323299646378	False	2	93df8521	2023-09-20_12-47-41	1695185261	21485.49996209145	1290759	abc	101.6.66.23	21485.49996209145	2	tanh	5	30	0.12995418188517804	64	-1.7803390062778033	5	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_93df8521_43_act=tanh,attn_dim=5,batch_size=30,dropout=0.1300,hidden_dim=64,lr=-1.7803,n_layer=5,entity=qqpp,log_config=T_2023-09-20_05-26-25
0.4770743716323963	0.3801210562810586	0.5323876112330983	0.6572287068068878	11392.4665248394	False	2	8e795687	2023-09-20_12-53-17	1695185597	20504.924028158188	548626	abc	101.6.66.23	20504.924028158188	2	sigmoid	5	50	0.006294127980261588	64	-2.939486716802109	5	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_8e795687_44_act=sigmoid,attn_dim=5,batch_size=50,dropout=0.0063,hidden_dim=64,lr=-2.9395,n_layer=5,entity=qqpp,log_confi_2023-09-20_06-49-36
0.3036535543565943	0.1899702415347278	0.3585245001733503	0.534966196694788	12277.613029956818	False	2	20c84571	2023-09-20_15-24-08	1695194648	24156.76458954811	1350328	abc	101.6.66.23	24156.76458954811	2	relu	5	10	0.24497703178500665	32	-1.6513210545958508	5	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_20c84571_45_act=relu,attn_dim=5,batch_size=10,dropout=0.2450,hidden_dim=32,lr=-1.6513,n_layer=5,entity=qqpp,log_config=T_2023-09-20_07-11-32
0.1253008263601497	0.0555082052467352	0.1347653992834855	0.2695524673523633	14164.408303260803	False	2	d4c580a4	2023-09-20_17-43-47	1695203027	31114.521651029587	551455	abc	101.6.66.23	31114.521651029587	2	idd	10	10	0.2616110280831596	32	-2.055627537537936	7	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_d4c580a4_46_act=idd,attn_dim=10,batch_size=10,dropout=0.2616,hidden_dim=32,lr=-2.0556,n_layer=7,entity=qqpp,log_config=T_2023-09-20_08-41-31
0.1002317460473839	0.0361724257482953	0.1032589853230093	0.2372804229746908	11631.968856334686	False	2	dfc278ac	2023-09-20_16-08-34	1695197314	24475.09964990616	1238143	abc	101.6.66.23	24475.09964990616	2	idd	5	10	0.23575209005930398	64	-2.076460965849555	5	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_dfc278ac_47_act=idd,attn_dim=5,batch_size=10,dropout=0.2358,hidden_dim=64,lr=-2.0765,n_layer=5,entity=qqpp,log_config=Tr_2023-09-20_09-05-13
0.0061809859961409	7.945221310528141e-05	0.0040665087252975	0.009490928001849	7196.867884635925	False	2	a18befee	2023-09-20_14-46-05	1695192365	15130.07522034645	552864	abc	101.6.66.23	15130.07522034645	2	idd	10	10	0.23064935207679815	64	-1.083007587809671	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_a18befee_48_act=idd,attn_dim=10,batch_size=10,dropout=0.2306,hidden_dim=64,lr=-1.0830,n_layer=3,entity=qqpp,log_config=T_2023-09-20_09-20-39
0.4788892347729118	0.3863327747601988	0.5330015601525483	0.6491390269270774	8384.511386156082	False	2	04ff0dec	2023-09-20_17-57-45	1695203865	18604.08665728569	1290759	abc	101.6.66.23	18604.08665728569	2	idd	10	30	0.004948919635440374	32	-2.779874801362663	5	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_04ff0dec_49_act=idd,attn_dim=10,batch_size=30,dropout=0.0049,hidden_dim=32,lr=-2.7799,n_layer=5,entity=qqpp,log_config=T_2023-09-20_10-33-55
